Row ID,Column,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
94,cleaned_lyrics,376,3.65,58.71,-46.24,-1.54,98.42,60,80,100,0,100,0,36.52,7.3,0,100,67.56,33.78,67.56,0
95,cleaned_lyrics,390,48.92,75.56,30.76,40.45,100,77.78,88.89,55.56,0,0,100,0,80,20,50,100,100,0,0
96,cleaned_lyrics,341,26.21,78.83,-31.15,30.94,100,50.74,0,50.74,0,100,0,67.98,33.99,0,0,0,100,0,0
97,cleaned_lyrics,400,2.66,4.47,19.62,-16.1,20,0,100,20,0,20,53.33,0,100,60,100,0,0,100,0
98,cleaned_lyrics,544,10.01,2.59,-29.61,57.05,29.35,19.25,100,89.91,0,100,58.33,83.33,0,53.7,49.88,49.88,100,74.94,0
99,cleaned_lyrics,516,-9.11,-16.7,-27.41,16.78,0,100,0.82,100,85.83,100,32.05,96.15,0,48.07,30.45,100,0,100,66.67
100,cleaned_lyrics,375,4.27,-34.17,28.39,18.59,0,85.71,57.14,85.71,100,0,0,100,20,0,0,100,0,100,100
101,cleaned_lyrics,382,7.19,36.85,9.11,-24.4,58.44,78.18,100,60,0,19.48,74.31,0,44.44,100,73.05,73.05,0,100,100
102,cleaned_lyrics,460,33.14,-8.13,21.74,85.82,28.57,100,85.71,100,0,50,100,40,100,0,0,75,75,100,0
103,cleaned_lyrics,465,18.81,-5.63,40.92,21.15,0,18.18,36.36,9.09,100,44.44,88.89,88.89,100,0,100,100,50,100,0
104,cleaned_lyrics,488,18.06,39.64,52.9,-38.38,32.94,16.47,0,66.72,100,0,100,100,23.09,16.36,100,0,40,0,0
105,cleaned_lyrics,509,19.82,50.17,14.08,-4.8,92.31,0,100,69.23,0.08,7.77,93.23,0,27.19,100,80,0,100,20,0
106,cleaned_lyrics,478,8.46,22.43,9.13,-6.17,48.55,0,80.92,100,1.87,0,44.12,0,18.27,100,80,100,0,20.42,0.21
107,cleaned_lyrics,244,,,,
108,cleaned_lyrics,366,-6.71,-13.35,-37.72,30.94,0,25.25,100,0.34,50.17,100,33.94,16.97,50.92,0,0,0,0,100,0
109,cleaned_lyrics,340,20.42,64.7,3.24,-6.67,100,42.86,85.71,0,85.71,57.14,71.43,0,100,0,0,0,100,0,100
110,cleaned_lyrics,390,9.46,-12.55,36.22,4.72,0,0,100,25,75,0,100,20,80,100,50,100,0,0,0
111,cleaned_lyrics,367,49.35,78.98,26.17,42.9,100,0,20.82,41.1,0.55,5.95,65.14,100,0,80,0,0,100,25.25,0.34
112,cleaned_lyrics,431,54.24,48.25,78.49,35.98,77.93,20,40,100,0,0,100,100,100,52.29,19.31,20,20,100,0
113,cleaned_lyrics,375,-20.58,22.71,-49.02,-35.43,42.86,0,100,57.14,14.29,100,50,33.33,0,33.33,20,60,0,0,100
114,cleaned_lyrics,199,,,,
115,cleaned_lyrics,314,13.71,55.21,-6.47,-7.62,100,71.23,13.69,100,0,29.25,58.49,0,29.25,100,100,33.33,66.67,50,0
116,cleaned_lyrics,328,,47.33,12.52,,98.48,98.48,0,100,0,0,0,95.59,2.94,100,50,50,50,50,50
117,cleaned_lyrics,328,19.86,92.31,-40.92,8.17,100,83.33,33.33,16.92,0,86.16,28.72,0,61.12,100,100,100,100,0,0
118,cleaned_lyrics,487,-38.84,-31.78,-26.47,-58.27,0,95.41,67.87,67.87,100,100,33.74,93.72,0,0,98.48,0,50.25,0.51,100
119,cleaned_lyrics,269,-5.56,16.52,-39.91,6.7,23.87,47.75,0,71.62,100,100,0,27.27,45.45,2.92,100,100,100,0,3.77
120,cleaned_lyrics,421,-37.23,-12.16,-55.59,-43.94,0,13.27,0.87,75.22,100,100,39.97,13.32,0,13.32,100,50.6,0,0,0
121,cleaned_lyrics,425,55.26,73.03,61.8,30.94,100,50,66.67,0,83.33,0,100,66.67,66.67,66.67,0,100,0,0,0
122,cleaned_lyrics,338,12.43,3.93,36.94,-3.58,0,0,0,8.11,100,0,100,50,24.63,75.37,100,20,80,60.9,0
123,cleaned_lyrics,139,,,,
124,cleaned_lyrics,385,-7.6,-39.03,50.07,-33.84,0,33.33,66.67,66.67,100,0,100,50,50,0,100,75,0,0,0
125,cleaned_lyrics,323,6.75,17.75,12.74,-10.24,43.76,65.64,21.88,100,0,17.8,41.28,100,0,95.41,0,48.48,48.48,1.52,100
126,cleaned_lyrics,435,-24.93,-18.87,-19.14,-36.79,0,64.29,78.57,21.43,100,80,0,100,30,70,100,50,25,0,0
127,cleaned_lyrics,221,,,,
128,cleaned_lyrics,583,20.96,64.11,40.68,-41.91,77.46,0,58.1,80.47,100,9.09,0,100,86.44,86.44,100,74.86,12.03,0,25.35
129,cleaned_lyrics,338,37.04,45.01,51.32,14.78,63.97,96.81,47.55,0,100,0,62.62,31.31,100,68.22,33.33,100,0,0,0
130,cleaned_lyrics,339,,-14.6,1.64,,0,21.75,21.75,43.51,100,63.43,100,63.43,12.23,0,50,50,50,50,50
131,cleaned_lyrics,436,18.69,69.1,-21.86,8.83,75.88,100,33.33,11.11,0,85.8,0,100,10,30,98.86,100,100,0,0
132,cleaned_lyrics,221,,,,
133,cleaned_lyrics,336,37.81,73.37,-34.51,74.56,100,40.84,81.68,0,0,100,91.15,36.46,0,91.15,18.24,100,60,60,0
134,cleaned_lyrics,223,,,,
135,cleaned_lyrics,335,29.09,4.22,77.26,5.78,33.33,88.89,33.33,100,0,0,80,100,73.33,93.33,100,100,0,100,0
136,cleaned_lyrics,415,16.38,-3.49,10.91,41.72,14.29,0,57.14,100,100,28.57,100,21.43,0,14.29,25,100,25,25,0
137,cleaned_lyrics,255,67.68,88.34,21.14,93.56,100,55.56,44.44,44.44,0,66.67,100,83.33,66.67,0,0,100,100,66.67,0
138,cleaned_lyrics,316,53.73,91.83,28.33,41.04,100,35.75,0,35.75,35.75,0,27.68,100,15.63,75.89,49.22,50,50,100,0
139,cleaned_lyrics,215,,,,
140,cleaned_lyrics,189,,,,
141,cleaned_lyrics,127,,,,
142,cleaned_lyrics,270,27.99,92.35,33.92,-42.3,100,66.67,33.33,33.33,0,20,0,100,100,100,0,0,25,25,100
143,cleaned_lyrics,373,25.32,32.97,12.04,30.94,60.06,60.06,0,100,14.77,18.34,28.55,100,0,72.41,0,0,100,0,0
144,cleaned_lyrics,407,29.24,79.33,38.11,-29.71,100,59.5,61.5,61.5,0,0,28.52,100,42.25,100,100,0,61.23,0.49,0.49
145,cleaned_lyrics,145,,,,
146,cleaned_lyrics,213,,,,
147,cleaned_lyrics,483,53.29,66.24,31.38,62.24,100,36.93,87.39,0,63.73,0,73.04,20.87,47.28,100,0,100,100,1.56,1.56
148,cleaned_lyrics,164,,,,
149,cleaned_lyrics,260,23.07,47.49,34.94,-13.21,75,12.5,100,0,12.5,0,80,10,100,100,100,33.33,66.67,33.33,0
150,cleaned_lyrics,90,,,,
151,cleaned_lyrics,268,,38.95,-31.29,,50,100,0,0.94,0.94,100,0,33.33,67.92,0,50,50,50,50,50
152,cleaned_lyrics,556,38.01,35.23,29.92,48.86,48.75,40,0,100,70,18.4,80.56,100,0,30.56,24.44,50,100,12.5,0
153,cleaned_lyrics,572,64.99,89.14,61.76,44.06,100,48.82,25.81,0,64.53,0,100,60.96,94.59,60.96,0,33.04,33.33,100,66.67
154,cleaned_lyrics,266,31.98,-5.6,32.46,69.08,18.89,80,20,100,0,0,100,11.91,38.34,11.91,0,66.67,100,33.33,33.33
155,cleaned_lyrics,275,-28.36,-6.66,-27.9,-50.52,0,0,100,0,100,100,100,0,40,20,100,33.33,0,33.33,33.33
